# 상용외래어 사전
# http://blog.daum.net/huijingzhang2005/7227853
kanaan	가나안
garnet	가넷
guard	가드
guardrail	가드레일
guard man	가드맨
garden	가든
cardigan	가디건
gavel	가벨
gasoline	가솔린
gas	가스
gas lens	가스레인지
gastrocamera	가스트로카메라
gossip	가십
gossip maker	가십메이커
gown	가운
guidance	가이던스
guide	가이드
guide line	가이드라인
Geist	가이스트
guidebook	가이드북
Gandhiism	간디즘
garlic	갈릭
gamma	감마
God	갓
gag	개그
gagman	개그맨
guarantee	개린티
gallry	갤러리
gambel	갬블
gap	갭
gang	갱
girder bridge	거더브리지
girdle	거들
governor	거버너
gudgeon pin	거전핀
girl	걸
gulf	걸프
gun	건
Genom	게놈
German	게르만
guerrilla	게릴라
Gestapo	게슈타보
guest	게스트
gay	게이
gauge	게이지
gate	게이트
gate way	게이트웨이
game	게임
game over	게임 오버
ghetto	게토
Gethsemane	겟세마네
go	고
go-go	고고
Gothic	고딕
gorilla	고릴라
ghost	고스트
Gosilla	고질라
gundola	곤돌라
goal net	골네트
gold	골드
golden	골든
golden season	골든 시즌
golden time	골든타임
goal judge	골 저지
goal keeper	골 키퍼
golfer	골퍼
golf	골프
good	굿
good shot	굿 샷
good idea	굿 아이디어
ground	그라운드
gratin	그라탕
Grand prix	그랑프리
grouting	그라우팅
grinder	그라인더
graphic	그래프
grand	그랜드
grand stand	그랜드스탠드
grame	그램
gray	그레이
great	그레이트
group	그룹
grease	그리스
green	그린
greenbelt	그린벨트
green tea	그린티
Greenpeace	그린피스
glass	글라스
gliding	글라이딩
glamour	글래머
glove	글러브
global	글로벌
global village	글로벌 빌리지
glycerine	글리세린
Gips	기브스
Guinness Book	기네스북
gift shop	기프트 숍
gift item	기프트 아이템
Gymnasium	김나지움
nano	나노
narcissism	나르시시즘
NASA	나사
Nazareth	나사렛
nice	나이스
nightclub	나이트클럽
night	나이트
Nazis	나치스
NATO	나토
Napoleon	나폴레옹
Naphthalin	나프탈린
knowledge	날리지
narration	내레이션
national	내셔널
nationalism	내셔널리즘
national park	내셔널파크
natural	내추럴
napkin	냅킨
nurse	너스
nut	너트
non sense	넌센스
number	넘버
numbering machine	넘버링머신
negative	네거티브
neon lamp	네온램프
nation	네이션
nature	네이처
nail	네일
neck	네크
network	네트워크
netizen	네티즌
net	넷
no	노
notouch	노다지
normal	노멀
Nobel prize	노벨상
novice	노비스
noble	노블
nebelesse oblige	노블레스
Neurose	노이로제
noise	노이즈
nozzle	노즐
no comment	노코멘트
knock	노크
no tie	노타이
no touch	노타치
note	노트
no parking	노파킹
no play	노 플레이
know how	노하우
nonstop	논스톱
nonfiction	논픽션
nude	누드
nuance	뉘앙스
noon	눈
new	뉴
news	뉴스
nickel	니켈
knit	니트
nickname	닉네임
NIMBY	님비
dadaism	다다이즘
dowm	다운
dining room	다이닝룸
dynamic	다이내믹
diver	다이버
diving	다이빙
dial	다이알
diary	다이어리
diet	다이어트
dioxin	다이옥신
documentary	다큐멘터리
doctor	닥터
duct	닥트
dolly	달리
dharma	달마
dancer	댄서
dam	댐
damping	댐핑
dummy	더미
double	더블
double bed	더블베드
