# 두산백과 - IT
# http://terms.naver.com/list.nhn?cid=40942&categoryId=32827
Bit Coin	비트코인
KakaoTalk	카카오톡
Facebook	페이스북
Instagram	인스타그램
Arduino	아두이노
protocol	프로토콜
YouTube	유튜브
Ethernet	이더넷
AlphaGo	알파고
Cloud Computing	클라우드 컴퓨팅
Android	안드로이드
Infographics	인포그래픽
software	소프트웨어
mobile	모바일
router	라우터
data base	데이터베이스
smart phone	스마트폰
ransomware	랜섬웨어
LINE	라인
Day Marketing	데이마케팅
snapchat	스냅챗
Linux	리눅스
data mining	데이터마이닝
spread sheet	스프레드시트
Flash Memory	플래시메모리
PowerPoint	파워포인트
firmware	펌웨어
internet	인터넷
Tag	태그
domain	도메인
process	프로세스
digital	디지털
mainboard	메인보드
hub	허브
user interface	유저인터페이스
interrupt	인터럽트
tethering	테더링
interface	인터페이스
Uber	우버
twitter	트위터
archive	아카이브
metadata	메타데이터
cache memory	캐시메모리
dropbox	드롭박스
hardware	하드웨어
rendering	렌더링
watermark	워터마크
blog	블로그
module	모듈
contents	콘텐츠
middleware	미들웨어
crowd funding	크라우드 펀딩
solution	솔루션
intranet	인트라넷
server	서버
compiler	컴파일러
embedded system	임베디드시스템
hypertext	하이퍼텍스트
Codec	코덱
Avatar	아바타
hot spot	핫스팟
Telematics	텔레매틱스
yahoo	야후
Machine Learning	머신 러닝
macro	매크로
core	코어
cookie	쿠키
hacking	해킹
Google	구글
Excel	엑셀
streaming	스트리밍
registry	레지스트리
Macintosh	매킨토시
microprocessor	마이크로프로세서
repeater	리피터
data	데이터
programmer	프로그래머
workstation	워크스테이션
FinTech	핀테크
Ubiquitous	유비쿼터스
Naver Band	네이버 밴드
legacy	레거시
Pharming	파밍
Lineage	리니지
Deep Learning	딥 러닝
hamming code	해밍코드
bluetooth	블루투스
bridge	브리지
kiosk	키오스크
power supply	파워서플라이
open source	오픈소스
firm banking	펌뱅킹
flash game	플래시게임
Kakao Pay	카카오페이
groupware	그룹웨어
Mashup	매시업
hard disk drive	하드 디스크 드라이브
migration	마이그레이션
browser	브라우저
Gray Code	그레이 코드
packet	패킷
cache	캐시
DevOps	데브옵스
Edge	엣지
multitasking	멀티태스킹
byte	바이트
system software	시스템소프트웨어
Social Network Service	소셜 네트워크 서비스
iPhone	아이폰
spyware	스파이웨어
programming	프로그래밍
Sniffer	스니퍼
Amazon	아마존
Java	자바
storage	스토리지
cracker	크래커
Internet Explorer	인터넷익스플로러
E-mail	이메일
korea.com	코리아닷컴
phishing	피싱
multiplexer	멀티플렉서
Beacon	비콘
Tomcat	톰캣
Tablet	태블릿
plug and play	플러그 앤드 플레이
register	레지스터
worm virus	웜바이러스
proxy	프록시
LANcard	랜카드
internet portal site	인터넷포털사이트
Pokemon	포켓몬
App store	앱스토어
Sandbox	샌드박스
key board	키보드
architecture	아키텍처
switching hub	스위칭허브
Turing test	튜링 테스트
program	프로그램
port	포트
backbone	백본
Alipay	알리페이
method	메소드
Connected Car	커넥티드 카
naver	네이버
semantic web	시멘틱 웹
BlackBerry	블랙베리
shareware	셰어웨어
impedance matching	임피던스 매칭
visual basic	비주얼 베이직
webhard	웹하드
Torrent	토렌트
Bootstrap	부트스트랩
wild card	와일드카드
debug	디버그
overhead	오버헤드
