# 두산백과 - 세계지명 > 아메리카 > 미국
# http://terms.naver.com/list.nhn?cid=40942&categoryId=34126
Hawaii	하와이
Minnesota	미네소타
New York	뉴욕
Guam	괌
San Francisco	샌프란시스코
Seattle	시애틀
Los Angeles	로스앤젤레스
Baltimore	볼티모어
Malibu	말리부
California	캘리포니아
Texas	텍사스
Chicago	시카고
Saint Louis	세인트루이스
Las Vegas	라스베이거스
Atlanta	애틀랜타
Boston	보스턴
San Diego	샌디에이고
Miami	마이애미
Houston	휴스턴
Florida	플로리다
New Jersey	뉴저지
Brooklyn	브루클린
Philadelphia	필라델피아
Detroit	디트로이트
Pittsburgh	피츠버그
Pennsylvania	펜실베이니아
Indiana	인디애나
Honolulu	호놀룰루
Dallas	댈러스
Michigan	미시간
Virginia	버지니아
Portland	포틀랜드
Maryland	메릴랜드
Manhattan	맨해튼
North Carolina	노스캐롤라이나
Oakland	오클랜드
Arizona	애리조나
New Orleans	뉴올리언스
Ohio	오하이오
Centralia	센트레일리아
Colorado	콜로라도
Oregon	오리건
Washington	워싱턴
Minneapolis	미니애폴리스
Massachusetts	매사추세츠
Alabama	앨라배마
Georgia	조지아
Washington	워싱턴
Illinois	일리노이
Missouri	미주리
Wisconsin	위스콘신
Tennessee	테네시
Beverly Hills	비벌리힐스
New York	뉴욕
Times Square	타임스스퀘어
Utah	유타
Alaska	알래스카
Louisiana	루이지애나
Vermont	버몬트
Cincinnati	신시내티
Denver	덴버
Oklahoma	오클라호마
Cleveland	클리블랜드
Kansas City	캔자스시티
San Antonio	샌안토니오
Broadway	브로드웨이
Orlando	올랜도
Connecticut	코네티컷
Orange County	오렌지 카운티
Nevada	네바다
Kentucky	켄터키
Mississippi	미시시피
Austin	오스틴
Delaware	델라웨어
Rhode Island	로드아일랜드
South Carolina	사우스캐롤라이나
Kansas	캔자스
New England	뉴잉글랜드
Milwaukee	밀워키
Sweeney Todd	스위니 토드
Delaware	델라웨어
Memphis	멤피스
Buffalo	버펄로
Iowa	아이오와
Wyoming	와이오밍
Sedona	세도나
Montana	몬태나
Salt Lake City	솔트레이크시티
Charlotte	샬럿
Idaho	아이다호
Hawaiian Kona	하와이안 코나
Centralia	센트레일리아
Anaheim	애너하임
New Hampshire	뉴햄프셔
Maine	메인
Indianapolis	인디애나폴리스
Saint Paul	세인트폴
Leicester	레스터
New Mexico	뉴멕시코
Volcano	볼케이노
Irvine	어바인
Anchorage	앵커리지
San Jose	새너제이
Portland	포틀랜드
Arkansas	아칸소
Pasadena	패서디나
Arlington	알링턴
Flint	플린트
Tumon Beach	투몬 비치
Richmond	리치먼드
Nebraska	네브래스카
Flamingo	플라밍고
Chattanooga	채터누가
West Virginia	웨스트버지니아
South Dakota	사우스다코타
Harlem	할렘
Pittsburg	피츠버그
Cambridge	케임브리지
Sacramento	새크라멘토
Nashville	내슈빌
San Andreas	샌 안드레아스
Cleveland	클리브랜드
Okoboji	오코보지
Kansas City	캔자스시티
Omaha	오마하
Palo Alto	팰로앨토
Santa Clara	산타클라라
Fargo	파고
Canyon	캐년
Montgomery	몽고메리
Pearl Harbor	펄하버
Wichita	위치토
Jacksonville	잭슨빌
Houston	휴스턴
Surprise	서프라이즈
Orange	오렌지
Phoenix	피닉스
North Dakota	노스다코타
Key West	키웨스트
Compton	컴튼
Los Angeles County	로스앤젤레스 카운티
Coachella	코첼라
Hillery	힐러리
Colorado Springs	콜로라도스프링스
Ypao Beach	이파오 비치
Daytona Beach	데이토나비치
Bronx	브롱크스
Springfield	스프링필드
Columbus	콜럼버스
Tucson	투손
Hedges	헤지스
Forest	포레스트
The Lion King	라이온 킹
Greenwich Village	그리니치빌리지
Tacoma	터코마
Laguna Beach	라구나 비치
West Point	웨스트 포인트
Plymouth	플리머스
Tampa	탬파
Laughlin	라플린
Havana	하바나
Rochester	로체스터
St. Petersburg	세인트피터즈버그
Mineral	미네랄
Santa Maria	산타마리아
Yolo	욜로
Reno	리노
Newark	뉴어크
Pebble Beach	페블 비치
Sax	색스
Orange County	오렌지 카운티
Monterey	몬터레이
Queens	퀸스
Ashley	애슐리
Commerce	커머스
Barstow	바스토우
Fort Worth	포트워스
Avalon	아발론
Austin County	오스틴 카운티
Irving	어빙
Louisville	루이빌
Providence	프로비던스
Stone Island	스톤 아일랜드
Annapolis	아나폴리스
Agenda	아젠다
Paseo de Susana Park	파세오 공원
Las Vegas	라스베이거스
New Haven	뉴 헤이븐
Kauai County	카우아이 카운티
Madison	매디슨
Fort Lauderdale	포트로더데일
Los Angeles	로스 엔젤레스
El Paso	엘패소
Cupertino	쿠퍼티노
Torrance	토런스
Cassel	캐슬
Harrisburg	해리스버그
St. Johns	세인트존스
Florida	플로리다
Newport	뉴포트
Fairfax	페어팩스
Florence	플로렌스
Garden Grove	가든그로브
Santa Cruz	산타크루스
Hero	히어로
Avenue Q	애비뉴 큐
Sausalito	소살리토
Southfield	사우스필드
Charleston	찰스턴
Spokane	스포캔
Raleigh	롤리
Santa Fe	샌타페이
Fresno	프레즈노
Gravity	그래비티
Montclair	몽클레어
French Quarter	프렌치쿼터
Vancouver	밴쿠버
Niagara Falls	나이아가라폴스
Fullerton	풀러턴
Elk	엘크
Brooklyn	브룩클린
Springfield	스프링필드
Melbourne	멜번
Saipan St. Maria Statue	사이판 성모마리아상
East Side	이스트사이드
Avenue	애비뉴
Guam	괌
Palm Springs	팜스프링스
Bakersfield	베이커즈필드
Maui Blue Mountain	마우이 블루마운틴
Normal	노멀
St. Louis County	세인트 루이스 카운티
Agness	아그네스
Savannah	서배너
Columbia	컬럼비아
Ione	아이온
Simpson	심슨
Davis	데이비스
Hawaii County	하와이 카운티
Syracuse	시러큐스
San Bernardino County	샌버나디노 카운티
Barrow	배로
Root	루트
Verdie	버디
Albuquerque	앨버커키
Imperial	임페리얼
Ann Arbor	앤아버
Durham	더럼
Biggs	빅스
Tumon Bay	투몬만
Kensington	켄싱턴
Ross	로스
Lakewood	레이크우드
Siloam	실로암
Salem	세일럼
Lexington	렉싱턴
Boise	보이시
Marin City	마린 시티
Princeton	프린스턴
Roanoke	로어노크
Saint Petersburg	세인트피터즈버그
Westminster	웨스트민스터
New Brunswick	뉴브런즈윅
Rising Star	라이징 스타
St. Johnsbury	세인트 존스베리
Cornwall	콘월
Stark County	스타크 카운티
Norfolk	노퍽
Bellevue	벨뷰
Gettysburg	게티즈버그
Cerritos	세리토스
Mountain View	마운틴뷰
Sonoma County	소노마 카운티
Huntsville	헌츠빌
Beaverton	비버턴
Kettering	케터링
Forest	포레스트
Peekskill	픽스킬
New Castle	뉴캐슬
Waterloo	워털루
Downey	다우니
Burlington	벌링턴
Redondo Beach	레돈도비치
Midway	미드웨이
Colma	콜마
Strawberry	스트로베리
Economy	이코노미
Marvel	마블
Twin City	트윈 시티
