# 국립국어원의 외래어 표기법의 용례
# http://www.korean.go.kr/front/foreignSpell/foreignSpellList.do?mn_id=96
# https://www.data.go.kr/subMain.jsp?param=REFUQUAxNTAwMzkxMg==#/L2NvbW0vY29tbW9uU2VhcmNoL29yZ2luRGF0YVNldCRAXjAxMm0xJEBecHVibGljRGF0YVBrPTE1MDAzOTEyJEBeYnJtQ2Q9T0MwMDA4JEBeZXhjZWxDb3VudD0wJEBeZG93bmxvYWRDb3VudD05MyRAXm9yZ0luZGV4PURBVEEkQF5za2lwUm93cz0wJEBebWF4Um93cz0xMA==
gahnite	가나이트
garnetting	가네팅
GANEFO	가네포
garnett	가넷
Garnett	가넷
Ganymede	가니메데
garnierite	가니어라이트
garnet	가닛
garnet paper	가닛페이퍼
Gadda	가다
gadolinite	가돌리나이트
gadolinium	가돌리늄
guard	가드
Gardiner	가드너
Gardner	가드너
guard-rail	가드레일
guard fence	가드펜스
garden golf	가든골프
garden party	가든파티
Gargantua	가르강튀아
Garnier	가르니에
Garborg	가르보르그
Gary	가리
Garibaldi	가리발디
garial	가리알
Gamaliel	가말리엘
gammil	가밀
Gabin	가뱅
garbology	가볼러지
Gabriel	가브리엘
Gabrieli	가브리엘리
Garvey	가비
garbage	가비지
Gassendi	가상디
gasogen	가소겐
gasohol	가소올
gasoline	가솔린
gasoline engine	가솔린엔진
gasoline pump	가솔린펌프
gas	가스
gas-lighter	가스라이터
gas lamp	가스램프
gas range	가스레인지
gas lens	가스렌즈
gas mask	가스마스크
gas mantle	가스맨틀
gas monitor	가스모니터
gas burner	가스버너
gas boiler	가스보일러
gas black	가스블랙
gas cyclone	가스사이클론
gas sampler	가스샘플러
gas stove	가스스토브
gas engine	가스엔진
gas oven range	가스오븐레인지
gas carbon	가스카본
gas cokes	가스코크스
gas chromatography	가스크로마토그래피
gas tank	가스탱크
gas turbine	가스터빈
gasteria	가스테리아
gastrinoma	가스트리노마
gastrin	가스트린
gas packing	가스패킹
gospel	가스펠
gospel song	가스펠송
gas pocket	가스포켓
gas heater	가스히터
gossip	가십
gayal	가얄
gaur	가우르
gauss	가우스
Gauss	가우스
Gautama	가우타마
gown	가운
Gower	가워
Geiger	가이거
guy derrick	가이데릭
guide	가이드
guide number	가이드넘버
guide-line	가이드라인
guide rope	가이드로프
guidebook	가이드북
Geibel	가이벨
Gaiseric	가이세리크
Geissler	가이슬러
Gaea	가이아
Gaius	가이우스
Geyser	가이저
gazania	가자니아
Ghazan Khan	가잔칸
Gazette	가제트
gazelle	가젤
garter belt	가터벨트
Catholic	가톨릭
GATT	가트
GARP	가프
garfish	가피시
Garfield	가필드
Gandhi	간디
Gandhiism	간디즘
Gall	갈
gal	갈
Galdan	갈단
Galago	갈라고
gallacetophenone	갈라세토페논
Galateia	갈라테이아
Galatia	갈라티아
galactan	갈락탄
galactosamine	갈락토사민
galactoside	갈락토시드
galactose	갈락토오스
galanthamine	갈란타민
Galanthus	갈란투스
Galland	갈랑
Garland	갈런드
Galle	갈레
Galenos	갈레노스
Galois	갈루아
gallium	갈륨
Gallimard	갈리마르
garlic	갈릭
galvanometer	갈바노미터
Galvani	갈바니
galtonia	갈토니아
ganglioside	강글리오시드
Gambetta	강베타
Gance	강스
Abel	아벨
gag	개그
gagman	개그맨
ganophyllite	개노필라이트
gather	개더
guarantee	개런티
Garrison	개리슨
Garrick	개릭
gaberdine	개버딘
Gasser	개서
Gaskell	개스켈
gasket	개스킷
Gantt	갠트
gantry	갠트리
gantry crane	갠트리크레인
gallery	갤러리
galloping inflation	갤러핑인플레이션
gallon	갤런
galantine	갤런틴
gallop	갤럽
galop	갤럽
Gallup	갤럽
galley	갤리
galliard	갤리어드
gap	갭
gang	갱
gang age	갱에이지
girdle	거들
governor	거버너
gerbera	거베라
gusset	거싯
gauze	거즈
gutter	거터
gut guitar	거트기타
guppy	거피
Gunn diode	건다이오드
Gunther	건서
gun club check	건클럽체크
Gunter	건터
Girl Guides	걸가이드
Girl Scouts	걸스카우트
Ge	게
Gaede	게데
Guesde	게드
Gerasimov	게라시모프
gerenuk	게레눅
Guernica	게르니카
Germanicus Caesar	게르마니쿠스 카이사르
germane	게르만
Gervinus	게르비누스
Gertsen	게르첸
Gerhardt	게르하르트
Gerlach	게를라흐
Gary	게리
gerrymandering	게리맨더링
Gary system	게리시스템
Guericke	게리케
Gev	게브
Geb	게브
Gesner	게스너
guest	게스트
George	게오르게
Gheorghiu-Dej	게오르기우데지
Gheorghe	게오르게
Georg	게오르크
Gay	게이
gay	게이
Gay-Lussac	게이뤼삭
Gable	게이블
gable	게이블
Geisericus	게이세리쿠스
gauge	게이지
gauge glass	게이지글라스
gauging	게이징
gate	게이트
gate way	게이트웨이
gate keeper	게이트키퍼
gate pulse	게이트펄스
Gainsborough	게인즈버러
Thomas	토머스
Gale	게일
game mania	게임 마니아
game maker	게임메이커
game point	게임포인트
Gesell	게젤
Guettard	게타르
getter	게터
ghetto	게토
Gettysburg	게티즈버그
gentamycin	겐타마이신
Gentiana	겐티아나
Gellius	겔리우스
Gogarten	고가르텐
Gauguin	고갱
go-go	고고
goggles	고글
gonadotropin	고나도트로핀
goniometer	고니오미터
goniophotometer	고니오포토미터
Godiva	고다이바
Goddard	고더드
Godwin	고드윈
Gordon	고든
Gothic	고딕
Gorgias	고르기아스
Gorchakov	고르차코프
gorilla	고릴라
Gaumont	고몽
Gobat	고바
Gobineau	고비노
go behind	고비하인드
Goethals	고설스
Gossen	고센
Gosset	고셋
Gosse	고스
ghost	고스트
ghost image	고스트이미지
ghost pulse	고스트펄스
Ghosh	고시
Goya y Lucientes	고야 이 루시엔테스
Gore	고어
gored skirt	고어드스커트
Goretex	고어텍스
Gozzoli	고촐리
Gozzi	고치
go-cart	고카트
Gokhale	고칼레
Gottwald	고트발트
Gottsched	고트셰트
Gottfried von Strassburg	고트프리트 폰슈트라스부르크
Gotthelf	고트헬프
Gautier	고티에
Goffman	고프먼
Gog	곡
Goncharov	곤차로프
goal	골
goal getter	골게터
goal net	골네트
Goldoni	골도니
Gold	골드
gold rush	골드러시
gold bar	골드바
golden cross	골든 크로스
golden disk	골든디스크
golden hour	골든아워
golden wave	골든웨이브
golden cat	골든캣
Golden Treasury	골든트레저리
Golding	골딩
goal line	골라인
Gaullism	골리즘
goal bar	골바
Goulburn	골번
goal shoot	골슛
goal throw	골스로
goal area	골에어리어
Galway	골웨이
goal judge	골저지
Galsworthy	골즈워디
Golgi	골지
goal crease	골크리스
goalkeeper	골키퍼
goal kick	골킥
Galton	골턴
Goldschmidt	골트슈미트
Goldstein	골트슈타인
goal post	골포스트
golf	골프
Gombrowicz	곰브로비치
Gompers	곰퍼스
gong	공
Goncourt	공쿠르
guarana	과라나
Guarnieri	과르니에리
Guardi	과르디
Guarini	과리니
Guarino	과리노
guayule	과율
guaiacol	과이어콜
Guam	괌
Goebel	괴벨
Goebbels	괴벨스
Goethe	괴테
Gounod	구노
Gudea	구데아
gourami	구라미
Gourmont	구르몽
gooseberry	구스베리
Gustav Vasa	구스타브 바사
Gustav Adolf	구스타브 아돌프
guanethidine	구아네티딘
guano	구아노
guanosine	구아노신
guanidine	구아니딘
guanine	구아닌
guava	구아버
Goujon	구종
Guts Muths	구츠무츠
Gooch	구치
gutta	구타
gutta-percha	구타페르카
Gundolf	군돌프
Gullstrand	굴스트란드
Gupta	굽타
Goodman	굿맨
good morning	굿모닝
Goodyear	굿이어
Guyenne	귀엔
Guyau	귀요
Gneist	그나이스트
Gneisenau	그나이제나우
gnetum	그네툼
grana	그라나
Granados	그라나도스
Granet	그라네
gramicidin	그라미시딘
Grabbe	그라베
gravure	그라비어
Grace	그라스
Grassmann	그라스만
grout	그라우트
grout curtain	그라우트커튼
grout pump	그라우트펌프
grout hole	그라우트홀
grouting	그라우팅
ground	그라운드
ground wrestling	그라운드레슬링
ground rule	그라운드룰
ground boy	그라운드보이
ground smash	그라운드스매시
ground stroke	그라운드스트로크
ground sheet	그라운드시트
Ground Zero	그라운드제로
ground homerun	그라운드홈런
grounding	그라운딩
grounding the ball	그라운딩 더 볼
Grein	그라인
grinder	그라인더
grinding	그라인딩
grinding mill	그라인딩밀
Gracchus	그라쿠스
